job title,company name,location,description,links,date
Quantity Surveyor,Arabian Construction CompanyDubai · UAE,Dubai · UAE,"Quantity take-off, subcontract verification and assisting QS Manager where required. Payment preparation, variation order, submittal…",https://www.bayt.com/en/uae/jobs/quantity-surveyor-5222525/,6 hours ago
Electrical Engineer,Arabian Construction Company,Dubai · UAE,"For the construction of a luxurious villa in Dubai, an MEP Engineer is a single–level professional classification responsible for…",https://www.bayt.com/en/uae/jobs/electrical-engineer-5222094/,Yesterday
Senior Estimator,Gulf Mechanical Acoustic Manufacturing - GMAMCODubai · UAE,Dubai · UAE,"Project Evaluation: Conduct in-depth reviews of interior design plans, fitout specifications, and exhibition requirements. Collaborate…",https://www.bayt.com/en/uae/jobs/senior-estimator-5056922/,Yesterday
Quantity Surveyor Engineer,Gulf Mechanical Acoustic Manufacturing - GMAMCO,Dubai · UAE,"Preparation of cost estimates, bills of quantities and tender documents. Negotiating with suppliers and subcontractors to obtain the…",https://www.bayt.com/en/uae/jobs/quantity-surveyor-engineer-5221745/,2 days ago
LMIA APPROVED SOFT WARE ENGINEER,Confidential CompanyDubai · UAE,Dubai · UAE,re you a Software Engineer or a fluent French Speaker dreaming of working and living in Canada? 🌍✨ Your opportunity starts here! At…,https://www.bayt.com/en/uae/jobs/lmia-approved-soft-ware-engineer-5221406/,4 days ago
Senior Structural Engineer - Design,Confidential Company,Dubai · UAE,Key Responsibilities 1. Structural engineering competence 2. Knowledge of all structural analysis tools and software’s 3. Experience…,https://www.bayt.com/en/uae/jobs/senior-structural-engineer-design-5220563/,7 days ago
Quality Engineer,Touch Plus Building Contracting LLCDubai · UAE,Dubai · UAE,"Oil & Gas Measurement Limited (OGM), a leader in providing cutting-edge process solutions for the oil, gas, and chemical industries,…",https://www.bayt.com/en/uae/jobs/quality-engineer-5220627/,7 days ago
MEP Engineer,Touch Plus Building Contracting LLC,Dubai · UAE,"As an MEP (Mechanical, Electrical, and Plumbing) Engineer, you will be responsible for designing and overseeing the installation of…",https://www.bayt.com/en/uae/jobs/mep-engineer-5220289/,8 days ago
Project Coordinator / Estimator,Space View documents clearance services llcDubai · UAE,Dubai · UAE,"We are looking for a Project Coordinator and Estimator with at least 2 years of experience in project estimation, client coordination,…",https://www.bayt.com/en/uae/jobs/project-coordinator-estimator-5220217/,7 days ago
Quantity Surveyor,Space View documents clearance services llc,Dubai · UAE,Position Title: Quantity Surveyor Employment Type: Full Time Salary: up to 10K AED all-inclusive…,https://www.bayt.com/en/uae/jobs/quantity-surveyor-5220065/,9 days ago
Job Opportunity: Quantity Surveyor (Dubai),TAV TEPE AFKEN INVESTMENT AND CONSTRUCTION COMPANYDubai · UAE,Dubai · UAE,I represent a leading Executive Search and Recruitment firm based in Dubai. Job Responsibilities * Interim payments * Variations &…,https://www.bayt.com/en/uae/jobs/job-opportunity-quantity-surveyor-dubai-5217874/,15 days ago
Young Construction Engineer,TAV TEPE AFKEN INVESTMENT AND CONSTRUCTION COMPANY,Dubai · UAE,"Responsibilities Manage and oversee construction activities from start to finish. Lead teams, coordinate with subcontractors, and…",https://www.bayt.com/en/uae/jobs/young-construction-engineer-5214401/,28 days ago
Research And Development Specialist,Nathan & NathanDubai · UAE,Dubai · UAE,"KEY ACCOUNTABILITIES: Assist in the development of new food products by conducting experiments, performing tests, and following established…",https://www.bayt.com/en/uae/jobs/research-and-development-specialist-5217833/,17 days ago
